5.26km/h, 0.00 V, -0.81A , 13:5:27
55.04km/h, 0.08 V, -8.86A , 13:5:34
55.08km/h, 0.09 V, -9.01A , 13:5:34
55.05km/h, 0.09 V, -8.82A , 13:5:34
55.06km/h, 0.09 V, -9.02A , 13:5:34
55.09km/h, 0.08 V, -9.11A , 13:5:34
55.10km/h, 0.08 V, -8.93A , 13:5:34
55.10km/h, 0.08 V, -8.95A , 13:5:34
55.12km/h, 0.08 V, -9.05A , 13:5:34
55.09km/h, 0.09 V, -8.76A , 13:5:34
55.09km/h, 0.08 V, -8.88A , 13:5:34
55.11km/h, 0.07 V, -8.95A , 13:5:34
55.07km/h, 0.06 V, -8.83A , 13:5:34
55.05km/h, 0.06 V, -8.99A , 13:5:34
55.05km/h, 0.06 V, -8.87A , 13:5:34
55.03km/h, 0.07 V, -8.89A , 13:5:34
55.01km/h, 0.08 V, -8.98A , 13:5:34
55.02km/h, 0.08 V, -9.04A , 13:5:34
55.01km/h, 0.08 V, -9.04A , 13:5:35
54.98km/h, 0.07 V, -9.26A , 13:5:35
55.00km/h, 0.08 V, -9.34A , 13:5:35
55.00km/h, 0.08 V, -9.29A , 13:5:35
55.03km/h, 0.08 V, -9.23A , 13:5:35
55.04km/h, 0.08 V, -9.25A , 13:5:35
55.06km/h, 0.08 V, -9.28A , 13:5:35
55.08km/h, 0.08 V, -9.19A , 13:5:35
55.07km/h, 0.08 V, -9.27A , 13:5:35
55.06km/h, 0.08 V, -9.32A , 13:5:35
55.08km/h, 0.08 V, -9.14A , 13:5:35
55.08km/h, 0.08 V, -8.84A , 13:5:35
55.06km/h, 0.08 V, -8.86A , 13:5:35
55.08km/h, 0.08 V, -8.89A , 13:5:35
55.06km/h, 0.09 V, -8.99A , 13:5:35
55.07km/h, 0.10 V, -8.89A , 13:5:35
55.07km/h, 0.11 V, -8.89A , 13:5:35
55.04km/h, 0.10 V, -8.97A , 13:5:35
55.04km/h, 0.10 V, -9.05A , 13:5:35
55.06km/h, 0.10 V, -8.86A , 13:5:35
55.05km/h, 0.10 V, -9.03A , 13:5:35
55.09km/h, 0.08 V, -9.29A , 13:5:35
55.12km/h, 0.08 V, -9.12A , 13:5:35
55.10km/h, 0.08 V, -9.10A , 13:5:35
55.08km/h, 0.08 V, -9.06A , 13:5:35
55.06km/h, 0.08 V, -9.05A , 13:5:35
55.04km/h, 0.08 V, -8.98A , 13:5:36
55.05km/h, 0.08 V, -9.08A , 13:5:36
55.08km/h, 0.07 V, -8.86A , 13:5:36
55.04km/h, 0.07 V, -9.06A , 13:5:36
55.02km/h, 0.07 V, -9.17A , 13:5:36
54.97km/h, 0.08 V, -9.07A , 13:5:36
54.98km/h, 0.08 V, -9.21A , 13:5:36
54.99km/h, 0.08 V, -9.22A , 13:5:36
54.99km/h, 0.07 V, -9.06A , 13:5:36
54.99km/h, 0.08 V, -9.05A , 13:5:36
55.01km/h, 0.08 V, -9.28A , 13:5:36
55.02km/h, 0.08 V, -8.98A , 13:5:36
55.00km/h, 0.09 V, -9.02A , 13:5:36
55.02km/h, 0.09 V, -9.08A , 13:5:36
55.03km/h, 0.09 V, -8.85A , 13:5:36
55.05km/h, 0.10 V, -8.87A , 13:5:36
55.03km/h, 0.09 V, -8.85A , 13:5:36
55.00km/h, 0.09 V, -8.67A , 13:5:36
55.02km/h, 0.09 V, -8.77A , 13:5:36
55.01km/h, 0.08 V, -8.94A , 13:5:36
55.01km/h, 0.08 V, -8.66A , 13:5:36
55.00km/h, 0.08 V, -8.75A , 13:5:36
55.02km/h, 0.08 V, -8.84A , 13:5:36
55.00km/h, 0.08 V, -8.82A , 13:5:36
54.99km/h, 0.08 V, -8.88A , 13:5:36
54.99km/h, 0.07 V, -8.91A , 13:5:36
54.99km/h, 0.08 V, -9.06A , 13:5:37
55.00km/h, 0.08 V, -9.19A , 13:5:37
55.01km/h, 0.08 V, -9.28A , 13:5:37
55.04km/h, 0.08 V, -9.28A , 13:5:37
55.06km/h, 0.08 V, -9.25A , 13:5:37
55.07km/h, 0.08 V, -9.28A , 13:5:37
55.03km/h, 0.07 V, -9.28A , 13:5:37
55.05km/h, 0.06 V, -9.06A , 13:5:37
55.01km/h, 0.05 V, -9.04A , 13:5:37
54.97km/h, 0.06 V, -9.05A , 13:5:37
54.96km/h, 0.06 V, -8.85A , 13:5:37
54.93km/h, 0.06 V, -8.77A , 13:5:37
54.86km/h, 0.06 V, -8.71A , 13:5:37
54.77km/h, 0.05 V, -8.52A , 13:5:37
54.69km/h, 0.06 V, -8.57A , 13:5:37
54.60km/h, 0.06 V, -8.58A , 13:5:37
54.51km/h, 0.06 V, -8.51A , 13:5:37
54.44km/h, 0.08 V, -8.53A , 13:5:37
54.36km/h, 0.08 V, -8.61A , 13:5:37
54.32km/h, 0.08 V, -8.46A , 13:5:37
54.25km/h, 0.08 V, -8.45A , 13:5:37
54.21km/h, 0.08 V, -8.56A , 13:5:37
54.15km/h, 0.08 V, -8.53A , 13:5:37
54.08km/h, 0.09 V, -8.42A , 13:5:37
54.03km/h, 0.08 V, -8.53A , 13:5:37
53.98km/h, 0.08 V, -8.31A , 13:5:37
53.95km/h, 0.08 V, -8.28A , 13:5:38
53.91km/h, 0.08 V, -8.35A , 13:5:38
53.90km/h, 0.08 V, -8.14A , 13:5:38
53.83km/h, 0.08 V, -8.18A , 13:5:38
53.77km/h, 0.08 V, -8.15A , 13:5:38
53.68km/h, 0.08 V, -8.08A , 13:5:38
53.66km/h, 0.08 V, -7.99A , 13:5:38
53.64km/h, 0.07 V, -8.03A , 13:5:38
53.56km/h, 0.08 V, -8.02A , 13:5:38
53.50km/h, 0.08 V, -8.09A , 13:5:38
53.47km/h, 0.08 V, -8.08A , 13:5:38
53.43km/h, 0.10 V, -8.05A , 13:5:38
53.37km/h, 0.09 V, -8.12A , 13:5:38
53.33km/h, 0.08 V, -8.14A , 13:5:38
53.29km/h, 0.08 V, -8.41A , 13:5:38
53.32km/h, 0.08 V, -8.36A , 13:5:38
53.31km/h, 0.08 V, -8.50A , 13:5:38
53.31km/h, 0.08 V, -8.78A , 13:5:38
53.38km/h, 0.08 V, -8.79A , 13:5:38
53.45km/h, 0.08 V, -8.87A , 13:5:38
53.52km/h, 0.08 V, -9.02A , 13:5:38
53.56km/h, 0.07 V, -9.00A , 13:5:38
53.63km/h, 0.07 V, -9.13A , 13:5:38
53.79km/h, 0.08 V, -9.33A , 13:5:38
53.94km/h, 0.08 V, -9.10A , 13:5:38
54.03km/h, 0.08 V, -9.22A , 13:5:38
54.19km/h, 0.09 V, -9.26A , 13:5:39
54.31km/h, 0.09 V, -9.19A , 13:5:39
54.43km/h, 0.09 V, -9.11A , 13:5:39
54.53km/h, 0.09 V, -9.18A , 13:5:39
54.61km/h, 0.09 V, -9.22A , 13:5:39
54.73km/h, 0.10 V, -9.28A , 13:5:39
54.82km/h, 0.10 V, -9.31A , 13:5:39
54.87km/h, 0.09 V, -9.19A , 13:5:39
54.87km/h, 0.09 V, -9.20A , 13:5:39
54.89km/h, 0.08 V, -9.19A , 13:5:39
54.88km/h, 0.08 V, -9.24A , 13:5:39
54.89km/h, 0.09 V, -9.10A , 13:5:39
54.85km/h, 0.09 V, -9.17A , 13:5:39
54.84km/h, 0.09 V, -9.24A , 13:5:39
54.82km/h, 0.08 V, -9.18A , 13:5:39
54.78km/h, 0.08 V, -9.27A , 13:5:39
54.79km/h, 0.08 V, -9.36A , 13:5:39
54.79km/h, 0.09 V, -9.27A , 13:5:39
54.81km/h, 0.09 V, -9.35A , 13:5:39
54.84km/h, 0.10 V, -9.38A , 13:5:39
54.84km/h, 0.10 V, -9.22A , 13:5:39
54.79km/h, 0.09 V, -9.32A , 13:5:39
54.79km/h, 0.10 V, -9.39A , 13:5:39
54.81km/h, 0.10 V, -9.34A , 13:5:39
54.85km/h, 0.12 V, -9.35A , 13:5:39
54.90km/h, 0.12 V, -9.30A , 13:5:39
54.93km/h, 0.11 V, -9.10A , 13:5:40
54.87km/h, 0.10 V, -9.14A , 13:5:40
54.86km/h, 0.10 V, -9.17A , 13:5:40
54.85km/h, 0.10 V, -9.03A , 13:5:40
54.84km/h, 0.10 V, -9.08A , 13:5:40
54.89km/h, 0.11 V, -9.16A , 13:5:40
54.92km/h, 0.10 V, -9.04A , 13:5:40
54.90km/h, 0.10 V, -9.05A , 13:5:40
54.87km/h, 0.09 V, -9.03A , 13:5:40
54.84km/h, 0.09 V, -8.83A , 13:5:40
54.83km/h, 0.09 V, -8.81A , 13:5:40
54.89km/h, 0.09 V, -8.95A , 13:5:40
54.89km/h, 0.08 V, -8.76A , 13:5:40
54.89km/h, 0.08 V, -8.79A , 13:5:40
54.95km/h, 0.08 V, -8.93A , 13:5:40
54.96km/h, 0.07 V, -8.61A , 13:5:40
54.95km/h, 0.08 V, -8.63A , 13:5:40
54.98km/h, 0.08 V, -8.57A , 13:5:40
54.98km/h, 0.07 V, -8.39A , 13:5:40
54.97km/h, 0.08 V, -8.54A , 13:5:40
54.97km/h, 0.08 V, -8.60A , 13:5:40
54.91km/h, 0.08 V, -8.55A , 13:5:40
54.89km/h, 0.09 V, -8.72A , 13:5:40
54.87km/h, 0.09 V, -8.77A , 13:5:40
54.83km/h, 0.09 V, -8.71A , 13:5:40
54.81km/h, 0.10 V, -8.91A , 13:5:40
54.81km/h, 0.09 V, -8.99A , 13:5:41
54.83km/h, 0.08 V, -9.08A , 13:5:41
54.83km/h, 0.08 V, -9.21A , 13:5:41
54.85km/h, 0.12 V, -9.24A , 13:5:41
54.90km/h, 0.13 V, -9.22A , 13:5:41
54.95km/h, 0.16 V, -9.19A , 13:5:41
54.98km/h, 0.15 V, -9.16A , 13:5:41
55.01km/h, 0.15 V, -9.35A , 13:5:41
55.06km/h, 0.15 V, -9.35A , 13:5:41
55.07km/h, 0.15 V, -9.33A , 13:5:41
55.09km/h, 0.15 V, -9.31A , 13:5:41
55.10km/h, 0.15 V, -9.13A , 13:5:41
55.10km/h, 0.15 V, -9.23A , 13:5:41
55.11km/h, 0.12 V, -9.27A , 13:5:41
55.10km/h, 0.12 V, -9.23A , 13:5:41
55.07km/h, 0.09 V, -9.24A , 13:5:41
55.09km/h, 0.09 V, -9.24A , 13:5:41
55.06km/h, 0.09 V, -9.11A , 13:5:41
55.03km/h, 0.09 V, -9.00A , 13:5:41
55.05km/h, 0.09 V, -9.15A , 13:5:41
55.05km/h, 0.10 V, -9.06A , 13:5:41
55.02km/h, 0.11 V, -9.21A , 13:5:41
55.05km/h, 0.11 V, -9.17A , 13:5:41
55.07km/h, 0.09 V, -9.10A , 13:5:41
55.07km/h, 0.08 V, -9.14A , 13:5:41
55.09km/h, 0.08 V, -9.19A , 13:5:41
55.09km/h, 0.08 V, -9.15A , 13:5:42
55.11km/h, 0.08 V, -9.04A , 13:5:42
55.12km/h, 0.08 V, -9.30A , 13:5:42
55.11km/h, 0.11 V, -9.03A , 13:5:42
55.10km/h, 0.11 V, -9.00A , 13:5:42
55.10km/h, 0.11 V, -9.12A , 13:5:42
55.07km/h, 0.12 V, -9.08A , 13:5:42
55.08km/h, 0.12 V, -9.18A , 13:5:42
55.04km/h, 0.12 V, -9.21A , 13:5:42
55.04km/h, 0.12 V, -8.97A , 13:5:42
55.02km/h, 0.14 V, -8.99A , 13:5:42
55.06km/h, 0.14 V, -9.09A , 13:5:42
55.06km/h, 0.15 V, -8.70A , 13:5:42
55.03km/h, 0.13 V, -8.78A , 13:5:42
55.07km/h, 0.13 V, -8.92A , 13:5:42
55.07km/h, 0.12 V, -8.61A , 13:5:42
55.06km/h, 0.12 V, -8.56A , 13:5:42
55.03km/h, 0.12 V, -8.55A , 13:5:42
55.03km/h, 0.12 V, -8.38A , 13:5:42
55.01km/h, 0.12 V, -8.41A , 13:5:42
54.99km/h, 0.09 V, -8.44A , 13:5:42
54.92km/h, 0.09 V, -8.43A , 13:5:42
54.87km/h, 0.08 V, -8.63A , 13:5:42
54.85km/h, 0.08 V, -8.66A , 13:5:42
54.81km/h, 0.08 V, -8.64A , 13:5:42
54.82km/h, 0.08 V, -8.86A , 13:5:42
54.82km/h, 0.08 V, -8.96A , 13:5:43
54.84km/h, 0.08 V, -8.94A , 13:5:43
54.84km/h, 0.09 V, -8.97A , 13:5:43
54.85km/h, 0.09 V, -9.16A , 13:5:43
54.85km/h, 0.10 V, -9.13A , 13:5:43
54.87km/h, 0.09 V, -9.02A , 13:5:43
54.87km/h, 0.08 V, -9.05A , 13:5:43
54.88km/h, 0.08 V, -9.05A , 13:5:43
54.88km/h, 0.08 V, -9.00A , 13:5:43
54.87km/h, 0.08 V, -8.97A , 13:5:43
54.86km/h, 0.07 V, -9.00A , 13:5:43
54.83km/h, 0.07 V, -8.96A , 13:5:43
54.81km/h, 0.06 V, -9.07A , 13:5:43
54.81km/h, 0.06 V, -8.97A , 13:5:43
54.80km/h, 0.05 V, -9.02A , 13:5:43
54.81km/h, 0.06 V, -9.11A , 13:5:43
54.84km/h, 0.06 V, -9.14A , 13:5:43
54.84km/h, 0.07 V, -9.14A , 13:5:43
54.80km/h, 0.07 V, -9.09A , 13:5:43
54.77km/h, 0.06 V, -9.04A , 13:5:43
54.77km/h, 0.06 V, -8.96A , 13:5:43
54.75km/h, 0.06 V, -8.99A , 13:5:43
54.76km/h, 0.07 V, -9.05A , 13:5:43
54.74km/h, 0.07 V, -9.02A , 13:5:43
54.71km/h, 0.07 V, -8.95A , 13:5:43
54.71km/h, 0.07 V, -9.09A , 13:5:43
54.69km/h, 0.07 V, -8.97A , 13:5:44
54.70km/h, 0.06 V, -8.89A , 13:5:44
54.71km/h, 0.07 V, -9.02A , 13:5:44
54.73km/h, 0.08 V, -8.86A , 13:5:44
54.72km/h, 0.08 V, -8.86A , 13:5:44
54.77km/h, 0.08 V, -8.92A , 13:5:44
54.77km/h, 0.09 V, -8.47A , 13:5:44
54.77km/h, 0.08 V, -8.45A , 13:5:44
54.83km/h, 0.08 V, -8.54A , 13:5:44
54.82km/h, 0.08 V, -8.29A , 13:5:44
54.82km/h, 0.09 V, -8.25A , 13:5:44
54.83km/h, 0.09 V, -8.28A , 13:5:44
54.81km/h, 0.09 V, -8.28A , 13:5:44
54.79km/h, 0.09 V, -8.45A , 13:5:44
54.80km/h, 0.09 V, -8.51A , 13:5:44
54.74km/h, 0.09 V, -8.51A , 13:5:44
54.74km/h, 0.08 V, -8.87A , 13:5:44
54.74km/h, 0.08 V, -8.90A , 13:5:44
54.71km/h, 0.08 V, -8.87A , 13:5:44
54.69km/h, 0.09 V, -8.91A , 13:5:44
54.69km/h, 0.08 V, -8.99A , 13:5:44
54.65km/h, 0.08 V, -9.02A , 13:5:44
54.67km/h, 0.08 V, -8.86A , 13:5:44
54.66km/h, 0.08 V, -8.82A , 13:5:44
54.61km/h, 0.07 V, -8.71A , 13:5:44
54.57km/h, 0.07 V, -8.43A , 13:5:44
54.49km/h, 0.07 V, -8.23A , 13:5:45
54.36km/h, 0.08 V, -8.06A , 13:5:45
54.22km/h, 0.07 V, -7.68A , 13:5:45
54.03km/h, 0.05 V, -7.46A , 13:5:45
53.82km/h, 0.05 V, -7.26A , 13:5:45
53.58km/h, 0.05 V, -6.95A , 13:5:45
53.29km/h, 0.06 V, -6.69A , 13:5:45
52.96km/h, 0.05 V, -6.20A , 13:5:45
52.56km/h, 0.05 V, -5.66A , 13:5:45
52.08km/h, 0.05 V, -5.23A , 13:5:45
51.56km/h, 0.04 V, -4.83A , 13:5:45
50.98km/h, 0.02 V, -4.36A , 13:5:45
50.31km/h, 0.02 V, -4.07A , 13:5:45
49.64km/h, 0.02 V, -3.72A , 13:5:45
48.95km/h, 0.02 V, -3.26A , 13:5:45
48.19km/h, 0.02 V, -2.96A , 13:5:45
47.38km/h, -0.00 V, -2.70A , 13:5:45
46.61km/h, 0.01 V, -2.59A , 13:5:45
45.85km/h, 0.01 V, -2.63A , 13:5:45
45.14km/h, 0.01 V, -2.70A , 13:5:45
44.43km/h, 0.01 V, -2.76A , 13:5:45
43.84km/h, 0.01 V, -2.96A , 13:5:45
43.29km/h, 0.02 V, -3.11A , 13:5:45
42.79km/h, 0.02 V, -3.25A , 13:5:45
42.31km/h, 0.02 V, -3.35A , 13:5:45
41.91km/h, 0.03 V, -3.51A , 13:5:46
41.61km/h, 0.03 V, -3.59A , 13:5:46
41.30km/h, 0.02 V, -3.73A , 13:5:46
41.06km/h, 0.03 V, -3.83A , 13:5:46
40.86km/h, 0.03 V, -3.88A , 13:5:46
40.70km/h, 0.04 V, -3.99A , 13:5:46
40.53km/h, 0.04 V, -3.97A , 13:5:46
40.41km/h, 0.03 V, -3.95A , 13:5:46
40.26km/h, 0.03 V, -3.92A , 13:5:46
40.12km/h, 0.03 V, -3.87A , 13:5:46
39.95km/h, 0.02 V, -3.68A , 13:5:46
39.71km/h, 0.02 V, -3.53A , 13:5:46
39.43km/h, 0.02 V, -3.24A , 13:5:46
39.09km/h, 0.01 V, -2.94A , 13:5:46
38.67km/h, 0.02 V, -2.69A , 13:5:46
38.19km/h, 0.01 V, -2.35A , 13:5:46
37.65km/h, 0.02 V, -2.05A , 13:5:46
37.03km/h, 0.02 V, -1.75A , 13:5:46
36.37km/h, 0.02 V, -1.50A , 13:5:46
35.67km/h, 0.02 V, -1.35A , 13:5:46
34.94km/h, 0.02 V, -1.26A , 13:5:46
34.24km/h, 0.02 V, -1.21A , 13:5:46
33.58km/h, 0.03 V, -1.28A , 13:5:46
32.94km/h, 0.04 V, -1.37A , 13:5:47
32.37km/h, 0.03 V, -1.47A , 13:5:47
31.84km/h, 0.04 V, -1.61A , 13:5:47
31.41km/h, 0.03 V, -1.74A , 13:5:47
31.04km/h, 0.02 V, -1.88A , 13:5:47
30.74km/h, 0.04 V, -2.02A , 13:5:47
30.51km/h, 0.04 V, -2.12A , 13:5:47
30.35km/h, 0.04 V, -2.20A , 13:5:47
30.20km/h, 0.04 V, -2.29A , 13:5:47
30.11km/h, 0.03 V, -2.32A , 13:5:47
30.05km/h, 0.02 V, -2.35A , 13:5:47
30.01km/h, 0.02 V, -2.32A , 13:5:47
29.99km/h, 0.02 V, -2.35A , 13:5:47
29.97km/h, 0.02 V, -2.38A , 13:5:47
29.96km/h, 0.02 V, -2.41A , 13:5:47
29.93km/h, -0.00 V, -2.41A , 13:5:47
29.92km/h, -0.00 V, -2.43A , 13:5:47
29.90km/h, -0.00 V, -2.45A , 13:5:47
29.90km/h, 0.01 V, -2.47A , 13:5:47
29.89km/h, 0.01 V, -2.48A , 13:5:47
29.88km/h, 0.01 V, -2.47A , 13:5:48
29.86km/h, 0.01 V, -2.49A , 13:5:48
29.83km/h, 0.01 V, -2.44A , 13:5:48
29.80km/h, 0.01 V, -2.38A , 13:5:48
29.74km/h, 0.01 V, -2.30A , 13:5:48
29.67km/h, 0.01 V, -2.20A , 13:5:48
29.55km/h, 0.01 V, -2.12A , 13:5:48
29.41km/h, 0.02 V, -2.05A , 13:5:48
29.23km/h, 0.01 V, -1.94A , 13:5:48
29.02km/h, 0.01 V, -1.88A , 13:5:48
28.79km/h, 0.02 V, -1.81A , 13:5:48
28.56km/h, 0.03 V, -1.75A , 13:5:48
28.32km/h, 0.03 V, -1.70A , 13:5:48
28.07km/h, 0.03 V, -1.69A , 13:5:48
27.86km/h, 0.04 V, -1.68A , 13:5:48
27.63km/h, 0.05 V, -1.69A , 13:5:48
27.44km/h, 0.06 V, -1.70A , 13:5:48
27.28km/h, 0.05 V, -1.71A , 13:5:48
27.14km/h, 0.06 V, -1.76A , 13:5:48
27.03km/h, 0.07 V, -1.78A , 13:5:48
26.94km/h, 0.06 V, -1.82A , 13:5:48
26.87km/h, 0.05 V, -1.85A , 13:5:49
26.81km/h, 0.06 V, -1.87A , 13:5:49
26.77km/h, 0.07 V, -1.89A , 13:5:49
26.72km/h, 0.07 V, -1.90A , 13:5:49
26.70km/h, 0.06 V, -1.93A , 13:5:49
26.68km/h, 0.05 V, -1.96A , 13:5:49
26.66km/h, 0.06 V, -1.97A , 13:5:49
26.64km/h, 0.05 V, -1.96A , 13:5:49
26.64km/h, 0.05 V, -1.94A , 13:5:49
26.63km/h, 0.05 V, -1.93A , 13:5:49
26.62km/h, 0.05 V, -1.93A , 13:5:49
26.60km/h, 0.04 V, -1.91A , 13:5:49
26.60km/h, 0.03 V, -1.93A , 13:5:49
26.59km/h, 0.04 V, -1.91A , 13:5:49
26.59km/h, 0.05 V, -1.91A , 13:5:49
26.59km/h, 0.07 V, -1.90A , 13:5:49
26.58km/h, 0.05 V, -1.91A , 13:5:49
26.58km/h, 0.05 V, -1.91A , 13:5:49
26.58km/h, 0.05 V, -1.91A , 13:5:49
26.59km/h, 0.05 V, -1.90A , 13:5:49
